PeakID,Timepoint,Amplitude,Position (px),Sigma (px),Instantaneous diffusion coefficient
2,0,2.3210664697180317,38.28778942236015,3.7352321984427728,0.0010594724587819268
4,1,2.5544187112432075,38.372926534706934,3.6073890313165347,0.0010340259651005893
7,2,3.072110773280853,38.60956361659041,3.5176605881571086,0.0010551240462025628
10,3,3.4668883081456685,38.82141000519501,3.546855429092759,0.0011276340381613963
13,4,3.5746132076693287,38.778018929501414,3.605933345125854,0.0012877621526231216
17,5,3.6213647190325795,38.500178620555516,3.6342613233605943,0.0015121833242738338
20,6,3.729465828444743,38.22036381110683,3.609689270358424,0.0017160992654167559
23,7,3.858564601520744,38.027801577096504,3.5974642085848436,0.0018287181176811656
26,8,4.0357501563757845,37.949532353030854,3.598191747902939,0.001819962834673774
29,9,4.276217905315671,37.89155804409879,3.6069837887477645,0.0017507759115338824
31,10,4.499352650356154,37.7575658102679,3.596769944533085,0.0016738008036049912
34,11,4.687323753892111,37.67717809627366,3.5696469485285607,0.001603420034191097
37,12,4.822738856020085,37.649271911737834,3.5699151174605355,0.0015405761576151743
40,13,4.843129397985247,37.60405026352289,3.598953898532127,0.0014805557887793543
43,14,4.711283989420284,37.558009571549775,3.6385962088352604,0.0014254592237153614
46,15,4.5667347263231335,37.43901999793842,3.6386549301036775,0.0013795972321734313
49,16,4.562643016682909,37.24987506222081,3.550663998738783,0.0013609467379044895
52,17,4.6114914153782856,37.068697856064524,3.4433904209153186,0.001355829864464667
55,18,4.647970401884029,36.85545723892994,3.3948970792939313,0.0013293716947763807
58,19,4.766776346546167,36.54175271737515,3.387645243492834,0.0012312639511186485
61,20,5.0036996533930935,36.226056664449025,3.3683593373068557,0.001122329117050894
64,21,5.156140320841068,36.015196237006606,3.3404658453482297,0.0010990495913212417
67,22,5.169186915547201,35.94152887028844,3.3386257117726865,0.0012045154475890155
70,23,5.167580062689157,36.02200404906248,3.364020515740575,0.0013701667304840141
73,24,5.036107072876123,36.10452131195711,3.3929217732964307,0.0014627480202376445
76,25,4.716304703103992,36.02474403262736,3.436227199660612,0.0014852282158152254
79,26,4.463338597694674,35.895409813738524,3.457700156392264,0.001485318030930757
82,27,4.34934991341709,35.86692883070501,3.4230318791026226,0.0014782887433769007
85,28,4.339733218808388,35.9412716078473,3.336716477305032,0.0014601788177311234
88,29,4.458239240827993,36.06695877939802,3.2741927986030746,0.0014126078964159475
91,30,4.630502363387498,36.13707168248543,3.2722678739472615,0.001310825352405546
94,31,4.769285595754897,36.14464452112965,3.2704219565846144,0.0011566741614336326
97,32,4.852181970682595,36.16400983048032,3.288515065089232,0.0009809681277847702
100,33,4.844307805692106,36.197234743507835,3.3268229416438513,0.0008130188142688671
103,34,4.770554797015419,36.154379714379985,3.426827253709505,0.0007021405188895555
106,35,4.775478402599418,35.953772020325275,3.575989593184785,0.0006858822447875348
109,36,4.8479405172224235,35.64066883626558,3.67997653817788,0.0007234245801997949
112,37,4.900858360454054,35.25957963664044,3.8070414454451664,0.0007582295127058937
114,38,4.705471379810956,35.061985505290956,3.8514400534711606,0.0007849584170446296
116,39,4.221942841383722,35.15254580817584,3.874423799055194,0.0008070249693399495
118,40,3.8142034406052527,35.28534906880702,3.883934516928591,0.000821261365595204
120,41,3.58174964230089,35.33054141346995,3.7787891013003656,0.000833853497989669
123,42,3.634289672772693,35.38520634113398,3.5886304534797597,0.000831328155416792
124,43,3.785177137298731,35.43367963203658,3.43197823402952,0.0008191323429563775
127,44,3.9819663119447872,35.47429094616489,3.290831449416415,0.0008125354519288261
128,45,4.274785318316096,35.46769365353998,3.208546423111444,0.000814546744813371
130,46,4.417186248648225,35.45008267369236,3.20405928768766,0.0008134858618862077
132,47,4.369386046686778,35.52565362524419,3.267965067244027,0.000819077616579323
134,48,4.246354991900175,35.64654375930358,3.4459711710666303,0.0008227128931337314
137,49,4.19103418329142,35.75995491831629,3.6614464918291243,0.0007809623866735845
139,50,4.2242508599585635,35.911092183705875,3.7842931088322462,0.0006861007588155121
141,51,4.345831576114265,36.04280562303301,3.7769779834006134,0.0006044133939758436
142,52,4.617924837582905,36.090345273708316,3.6578864636943287,0.0005781740577063608
144,53,4.885549185559254,36.158293287080966,3.4827958596445563,0.0005785136304937683
146,54,4.907454181263456,36.252081817813,3.31196598243982,0.0005611633094983026
148,55,4.667837209414485,36.330979111082534,3.2047177835156444,0.000552412485001614
150,56,4.30016468617239,36.38476717370617,3.1903999263499663,0.0005540618592619758
152,57,4.026514900482453,36.33288544420023,3.240272715105706,0.0005533706346272531
154,58,4.004204757946196,36.24253015173726,3.295068390601052,0.0005838480322436094
156,59,4.0180214897814635,36.196136577316736,3.346799058453225,0.0006666279467934688
158,60,3.971099894272649,36.19289275672594,3.3918196741954656,0.0007790914548687462
160,61,3.9649252230269543,36.34796903758928,3.43849834023927,0.0008492538772345426
162,62,3.9674764314208613,36.6183860046043,3.4697916277707868,0.0008449464984893588
164,63,3.8943936167950435,36.87023962589403,3.4950913809033373,0.0008141404440622933
167,64,3.76152360991693,37.023270965823784,3.556863476911486,0.0007860269696442364
169,65,3.678239555554986,36.9927953361029,3.589071708177776,0.0007648403405426738
170,66,3.7302849753111116,36.880101657215384,3.558284363838394,0.0007537990978351123
172,67,3.948830895495434,36.82631950773436,3.448764302009089,0.0007451310597894545
174,68,4.324635759661791,36.84856614274577,3.26978231143268,0.00073684757312378
176,69,4.663953680007184,36.94006275402026,3.1510836413232766,0.0007478082967275243
178,70,4.706226088544873,37.05879556096883,3.1533103197515686,0.0007667180187980643
180,71,4.437964917883246,37.05734302411113,3.195457285243623,0.0007851573167689659
183,72,4.113054002594612,36.8313842425324,3.2046802746443444,0.0008116608805867052
185,73,3.973181937424614,36.53595992949302,3.2165485718877456,0.0008351484672496878
186,74,3.992080029475235,36.29625633602566,3.2189864350895365,0.0008119776186046311
188,75,4.0426192690909035,36.144942414862015,3.216745592080461,0.0007399025279400654
190,76,4.0024892563891274,36.131105451671196,3.2466905755898288,0.0006749948729984303
192,77,3.86125586649677,36.186095971973266,3.3256661707164907,0.0006995202649112685
194,78,3.7625960209987523,36.149275482746994,3.461890731884477,0.0007980742126744632
196,79,3.785682928758777,36.02238638150408,3.580464048426306,0.0009127790605613133
198,80,3.9866524164440817,35.92463683974107,3.6048353200470618,0.0010057257577221375
200,81,4.287115224519374,35.906502527410055,3.5750487553800347,0.0010825479978551116
202,82,4.370070682410088,35.962258657078415,3.5210260002991016,0.0011634924133724234
204,83,4.184473727231507,36.10602863299237,3.509619041275869,0.0012485274789923763
206,84,3.984964077254928,36.25240666667312,3.571148434855596,0.0013080614121828195
209,85,3.8398498245247223,36.27868771651466,3.6518111661660386,0.0013192819413584207
211,86,3.720807350887782,36.33068874085357,3.713694485306649,0.001253897207328824
213,87,3.6326200012319747,36.495603574237705,3.7046295858465195,0.0011408140337403427
215,88,3.613934952403338,36.61463726840643,3.626162663734866,0.0010731124081414791
217,89,3.710214140043108,36.54031075802949,3.508657134349156,0.0010572998668023964
219,90,3.899979355325756,36.32197727531187,3.3976425221807007,0.0010574220334218724
220,91,4.172787264798016,36.0452816172315,3.2889506099877575,0.0010567974938179559
222,92,4.481628925478749,35.8184739896907,3.1815570401298654,0.0010515323690112866
224,93,4.700085994018733,35.679580719005166,3.1404344029924647,0.0010459159686931178
226,94,4.754449125427411,35.51753818592641,3.169210754022314,0.001052121599801862
228,95,4.745020909538941,35.35672195309183,3.2312911517397347,0.0010547419465643853
230,96,4.73995649768227,35.19768785006397,3.243365913893438,0.0010414580548679948
232,97,4.657059523505771,34.986455419773705,3.226018215520905,0.0010307716208132452
234,98,4.590739206968224,34.81335030288162,3.23575436227939,0.0010554015577402252
236,99,4.514909940735542,34.740616527134904,3.2696145551231846,0.0011243227497791817
238,100,4.265262830986851,34.680280903606,3.338617655859405,0.0011869531274211892
240,101,3.9272776686777235,34.61679252788857,3.4388853803157846,0.0012035553927115176
242,102,3.728689021270758,34.578621096705554,3.557195908695975,0.0012089108289067934
244,103,3.7738844831169795,34.50829597384487,3.6025347416991385,0.0012355844266878722
246,104,4.029698301497617,34.43835923961994,3.581130697425214,0.0012439040979438526
248,105,4.296869749788068,34.42042744134157,3.5532490334381897,0.0012222190750291197
250,106,4.327725615791408,34.435923177017735,3.5091926778236235,0.001209104931281542
252,107,4.137753569768609,34.50071156265805,3.4538664650850417,0.0012261213010391367
254,108,3.917063742837163,34.61896819330834,3.4331387710560746,0.0012600562944526938
