PeakID,Timepoint,Amplitude,Position (px),Sigma (px),Instantaneous diffusion coefficient
3,0,1.4656752941814735,136.18822632316187,3.8355955605654826,0.001384050798185626
6,1,1.6509326817759407,136.1492507232749,3.5983244809926775,0.0012773825879560787
9,2,2.1382893234317812,136.1650715427133,3.3599869473776396,0.0011853997845398163
12,3,2.6127577117349863,136.35828955923705,3.325813743829055,0.0011057706483861554
15,4,2.8792183907106805,136.5979911183261,3.336866156338249,0.001043710830486177
18,5,3.0791007379818724,136.75155088196246,3.4035106346370454,0.0009913428979268339
21,6,3.270542745448467,136.90760984865818,3.4867635121649565,0.0009379787425169407
24,7,3.3714869089651347,137.1197504487183,3.5399027917446126,0.0008896266833013716
27,8,3.3544214180819827,137.33884587906365,3.560415539433887,0.0008470156447109651
30,9,3.3800812063962544,137.46973477372944,3.5503782322030704,0.0008070837840351045
33,10,3.6263783925656434,137.51411705027573,3.5246079882713124,0.0007725204889176171
35,11,3.936856458532029,137.543230523279,3.50336864625236,0.000745652947650689
38,12,4.094897700374131,137.56392518935058,3.522133728487288,0.0007182964239774909
41,13,4.08027115242551,137.62835882576942,3.559242844299372,0.0006907371374203332
44,14,3.910193606804427,137.71818790225151,3.6348479802151683,0.0006719867153592682
47,15,3.665488878697043,137.70707373828603,3.698939840825469,0.0006807183812309468
51,16,3.5218805431723097,137.65982282972368,3.6778827618604,0.0007202153597974358
54,17,3.5614082090494135,137.67106518166563,3.6809967113205477,0.0007436835178737641
57,18,3.7209898665788685,137.6198942480987,3.6802004833064075,0.0007410405217439392
59,19,3.7641422485932066,137.52986396605274,3.677442011902306,0.0007377040452115033
63,20,3.527326900198856,137.48583794335158,3.7285153519703838,0.0007311332495253386
66,21,3.132864622209479,137.54644836559638,3.8072639928697467,0.0007140587589569776
69,22,2.7687568649346095,137.65250779788698,3.8528637210381773,0.0006960364799156642
72,23,2.6046139013373484,137.648430976714,3.8215506027848103,0.0006906100655792316
75,24,2.687477485183583,137.58037689281187,3.729053735719378,0.0006947137552583544
78,25,2.9404444435753123,137.47659304926108,3.598691586847377,0.0006975858261434817
80,26,3.2652142604935586,137.42381893033243,3.4669716554947074,0.0007024195723757512
83,27,3.408988800125206,137.4836226730563,3.4193333330021622,0.0007099113493501925
86,28,3.443423762867153,137.58510971696603,3.4683424957112217,0.0007158316091630332
89,29,3.6604896781332887,137.70345522495023,3.4944777195602126,0.0007219125268956271
92,30,4.019861760940894,137.90730025018777,3.4798068216550395,0.0007277476618719157
95,31,4.381083233382524,138.12927271299958,3.4252408550897613,0.0007397343335250113
98,32,4.528479269811811,138.3044411597777,3.3913927751859885,0.0007650705701347762
101,33,4.437562012163368,138.49610875642836,3.364133430327131,0.0007915421198551017
104,34,4.319412602248438,138.6682913104599,3.31894163785916,0.0008027076034897306
107,35,4.221248869438576,138.78823655488165,3.3204057286746855,0.0008090891937565252
110,36,4.13451833931529,138.89596068812364,3.3504344458064703,0.0008706558166445349
113,37,3.979938332789191,138.96502457541465,3.3816382719626987,0.001000657590971679
115,38,3.7418459484746016,139.01328648521115,3.378193767157138,0.0011467608757923997
117,39,3.600731636637997,139.05511699049185,3.333236148227714,0.0012657633245791314
119,40,3.567781960330066,139.09040042819035,3.3152588075565332,0.0013172523913610149
121,41,3.6295157734888734,139.18939432251634,3.3448639156812408,0.001311720986109289
122,42,3.7274817425257427,139.25867316851304,3.3975200825629535,0.0012649086398025
125,43,3.825987682159881,139.2757766918487,3.4443868852937256,0.0011923555413674216
126,44,4.050590051279691,139.29560376842346,3.4144203317465815,0.001098984097573596
129,45,4.255014251420125,139.38704028123715,3.2858713722292823,0.0009874792935162138
131,46,4.2162545286550035,139.54612224288533,3.1172341440710643,0.0008891974113427802
133,47,4.128637510177675,139.68355037725752,2.9907656081878145,0.0008148999747316638
135,48,4.128273381322418,139.73353142641722,2.9591263992456405,0.0007614953163469488
136,49,4.175911833164003,139.64478666642074,3.0856901270825827,0.0007379567277245706
138,50,4.282149208398373,139.39245687079926,3.2985367931608547,0.0007411220267929291
140,51,4.334332712555585,139.05137675594867,3.3792212645379403,0.0007590564851127934
143,52,4.183203796784976,138.80127361987923,3.3470324420389947,0.0007819615420682222
145,53,3.9001612686173948,138.65406278200314,3.3199122468846265,0.0008094831570676583
147,54,3.7278189031251556,138.56313129380925,3.3031825422974146,0.0008450660993251416
149,55,3.716649918552448,138.60130100098732,3.3001335398353406,0.0008858492254680302
151,56,3.759384170267997,138.68860077520978,3.3316983489030982,0.0009198249581329553
153,57,3.6512207323560824,138.7103566172906,3.380055743438067,0.0009402655597822402
155,58,3.3762207959184187,138.7015790819612,3.4415323978272823,0.0009507637040632417
157,59,3.201876523621971,138.7053284877011,3.4686286409941713,0.0009567419259454
159,60,3.1774459250739113,138.7059116296002,3.4272652968080024,0.0009730324308231289
161,61,3.271718489254553,138.72591970016032,3.373633230658976,0.0010396938481375426
163,62,3.5704984745999595,138.79132124875198,3.344273642654211,0.001164002809376097
165,63,3.9433296238994067,138.8849027777449,3.312172974565905,0.0012634819151172197
