PeakID,Timepoint,Amplitude,Position (px),Sigma (px)
2,0,2.3210664697180317,38.28778942236015,3.7352321984427728
4,1,2.5544187112432075,38.372926534706934,3.6073890313165347
7,2,3.072110773280853,38.60956361659041,3.5176605881571086
10,3,3.4668883081456685,38.82141000519501,3.546855429092759
13,4,3.5746132076693287,38.778018929501414,3.605933345125854
17,5,3.6213647190325795,38.500178620555516,3.6342613233605943
20,6,3.729465828444743,38.22036381110683,3.609689270358424
23,7,3.858564601520744,38.027801577096504,3.5974642085848436
26,8,4.0357501563757845,37.949532353030854,3.598191747902939
29,9,4.276217905315671,37.89155804409879,3.6069837887477645
31,10,4.499352650356154,37.7575658102679,3.596769944533085
34,11,4.687323753892111,37.67717809627366,3.5696469485285607
37,12,4.822738856020085,37.649271911737834,3.5699151174605355
40,13,4.843129397985247,37.60405026352289,3.598953898532127
43,14,4.711283989420284,37.558009571549775,3.6385962088352604
46,15,4.5667347263231335,37.43901999793842,3.6386549301036775
49,16,4.562643016682909,37.24987506222081,3.550663998738783
52,17,4.6114914153782856,37.068697856064524,3.4433904209153186
55,18,4.647970401884029,36.85545723892994,3.3948970792939313
58,19,4.766776346546167,36.54175271737515,3.387645243492834
61,20,5.0036996533930935,36.226056664449025,3.3683593373068557
64,21,5.156140320841068,36.015196237006606,3.3404658453482297
67,22,5.169186915547201,35.94152887028844,3.3386257117726865
70,23,5.167580062689157,36.02200404906248,3.364020515740575
73,24,5.036107072876123,36.10452131195711,3.3929217732964307
76,25,4.716304703103992,36.02474403262736,3.436227199660612
79,26,4.463338597694674,35.895409813738524,3.457700156392264
82,27,4.34934991341709,35.86692883070501,3.4230318791026226
85,28,4.339733218808388,35.9412716078473,3.336716477305032
88,29,4.458239240827993,36.06695877939802,3.2741927986030746
91,30,4.630502363387498,36.13707168248543,3.2722678739472615
94,31,4.769285595754897,36.14464452112965,3.2704219565846144
97,32,4.852181970682595,36.16400983048032,3.288515065089232
100,33,4.844307805692106,36.197234743507835,3.3268229416438513
103,34,4.770554797015419,36.154379714379985,3.426827253709505
106,35,4.775478402599418,35.953772020325275,3.575989593184785
109,36,4.8479405172224235,35.64066883626558,3.67997653817788
112,37,4.900858360454054,35.25957963664044,3.8070414454451664
114,38,4.705471379810956,35.061985505290956,3.8514400534711606
116,39,4.221942841383722,35.15254580817584,3.874423799055194
118,40,3.8142034406052527,35.28534906880702,3.883934516928591
120,41,3.58174964230089,35.33054141346995,3.7787891013003656
123,42,3.634289672772693,35.38520634113398,3.5886304534797597
124,43,3.785177137298731,35.43367963203658,3.43197823402952
127,44,3.9819663119447872,35.47429094616489,3.290831449416415
128,45,4.274785318316096,35.46769365353998,3.208546423111444
130,46,4.417186248648225,35.45008267369236,3.20405928768766
132,47,4.369386046686778,35.52565362524419,3.267965067244027
134,48,4.246354991900175,35.64654375930358,3.4459711710666303
137,49,4.19103418329142,35.75995491831629,3.6614464918291243
139,50,4.2242508599585635,35.911092183705875,3.7842931088322462
141,51,4.345831576114265,36.04280562303301,3.7769779834006134
142,52,4.617924837582905,36.090345273708316,3.6578864636943287
144,53,4.885549185559254,36.158293287080966,3.4827958596445563
146,54,4.907454181263456,36.252081817813,3.31196598243982
