PeakID,Timepoint,Amplitude,Position (px),Sigma (px)
2,0,42.25610866123776,100.848171426666,1.2926590489856196
4,1,37.45122316146745,100.97597243836735,1.2000000000000002
7,2,43.96995400671182,100.89076266290358,1.433930652930061
10,3,40.59296251934016,101.14778574275779,1.2915497268691167
13,4,50.444438092609516,101.4901089586185,1.2358724471129114
18,5,25.27929199613581,101.80443055790906,1.6601992773663559
20,6,34.798749713178196,101.81486471285199,1.453505151753892
23,7,42.404021415808245,101.79775709729168,1.4027767472280916
25,8,42.057959951628874,102.34324874278956,1.3936874066853764
28,9,40.15130604902504,101.97390376300194,1.2865245365456806
32,10,28.23967029303397,101.62895194961239,1.4946814561516768
34,11,37.01044626545375,101.84633699700183,1.555591637383121
37,12,36.95037924597929,102.14461439588513,1.370264115062207
41,13,31.726830040276507,102.08006850197312,1.496508615632516
43,14,45.3972608488664,102.15876265916673,1.2903036744101477
47,15,32.613359470101585,101.93563606293704,1.4804221114984466
49,16,34.296963252309,102.33356901741031,1.3528352322579473
52,17,48.27810184991212,102.34441020269495,1.3402648481422585
56,18,21.507424893735433,102.11568364266589,1.9055375520684927
58,19,37.2147053613661,101.88968882875515,1.402175575446249
61,20,25.60802253786473,101.49242422689555,1.2000000000000002
65,21,50.2149986960137,101.81972243100135,1.2000000000000002
69,22,12.371980642234274,101.92740557786502,2.1889471835270307
72,23,35.391165246865974,101.86201913148241,1.5292593408006172
74,24,36.067156006716836,102.04841294046459,1.2604162765292537
76,25,42.52040424721246,102.26003481358856,1.2000000000536586
79,26,31.89682073769801,101.65740813663673,1.264070547071306
82,27,41.08880165141595,101.84376901882116,1.2000000000000002
85,28,33.42929807040666,102.49658204522812,1.301042972918733
88,29,22.681096989604182,102.40953148004246,1.5954359379109033
91,30,30.499590321028066,102.5049917718781,1.638621803651133
94,31,40.639019617381734,101.79184960932803,1.2000000000000017
98,32,16.282749109219434,101.81864509570913,1.2000000000000002
100,33,36.08449438923525,102.0002522805197,1.4684300938154158
103,34,44.98158546159049,101.64259070420819,1.4508248523822849
108,35,31.606200166543566,101.99015845701592,1.4657095536022928
109,36,37.66731826305293,101.78185254731662,1.2000000000000002
114,37,33.33550225393205,102.34924855765846,1.6043830311205811
115,38,46.47795648184496,102.35177743471358,1.2000000000000002
119,39,30.820003952123805,101.7143765674508,1.2000000000000006
122,40,39.053957138528645,101.9515320631311,1.3826806709792967
124,41,37.3601157913028,101.66467907322915,1.7102225849068415
128,42,32.04941706743242,101.41400519174097,1.6352693168323282
132,43,30.89778081106705,101.3339619229989,1.4534713652182027
134,44,25.5460199857735,101.01570900209002,1.200000000000003
137,45,30.297904425082884,101.06655231931056,1.3667177198959717
139,46,46.620427440390806,101.49203248827662,1.3327403043814101
142,47,32.074007257525714,102.0191963648595,1.5102203559959222
146,48,43.69147392134726,101.87117060274927,1.3853434202961934
150,49,24.577203688627577,101.9705207761126,1.6847791066719737
152,50,30.22838508206246,101.83741686583748,1.4813703262684712
154,51,40.22044008626911,102.02529436183973,1.48812361142727
159,52,38.709546862395435,102.17846941308768,1.3137197398247848
162,53,25.49376406017609,102.18357186346951,1.6569381076152332
163,54,43.30935185969255,101.68245908633493,1.2000000000000002
166,55,46.24607596599758,101.3026306633945,1.3692841867808196
171,56,18.820435318789862,101.61972004293166,1.6657876843209827
174,57,26.051621399300526,102.01627123909839,1.2347440363988085
175,58,34.25100601740099,101.77767878550105,1.238474653332589
179,59,33.55959606715155,101.48225296577276,1.467433950045532
182,60,36.68382229772959,101.8938255018349,1.3035334462192925
186,61,40.57154170470406,101.68279911117088,1.4289320130178274
189,62,25.703014924257047,101.49981436914882,1.241773273126662
190,63,46.02039405099025,101.34522410359129,1.3632558116968703
193,64,36.01785294135391,100.87475587806694,1.6554534296136147
197,65,32.91827904647432,100.9130382139727,1.5877592086028238
200,66,24.41970084801041,101.4802004860952,1.3379708265179235
203,67,38.62193189543638,101.11533159186936,1.4711029131136995
206,68,49.04369575667262,101.18878924555918,1.2395327151805133
208,69,28.8709401884691,101.01366861190738,1.2000000000000002
212,70,34.256717665946866,101.19498912183145,1.327749888332979
215,71,30.0606766178577,100.99190616910306,1.200000000652816
218,72,33.20383860288409,100.88890529276256,1.5321241994539732
221,73,32.06149898986846,100.90948067164807,1.3170865863529253
225,74,37.44433061846701,101.0231603504357,1.32659787761788
227,75,42.86771000122882,100.49613221066154,1.4177371699408159
231,76,22.026874544668274,100.2661588529782,1.223894078565138
234,77,26.849827899130364,99.97063754609655,1.572128063004671
236,78,39.15596446949515,100.49637627374229,1.4057048676253772
240,79,12.616631653530423,100.24236519369236,1.5592142691548816
241,80,48.383466356415006,99.94415311333465,1.2000000000000002
245,81,32.96922775704936,99.79863919325112,1.2602421415757667
248,82,41.649984695836636,99.98825748474198,1.371555506952238
252,83,26.37623211762612,99.68103369904442,1.3043222598233253
254,84,31.997695954288826,100.4095861222274,1.2000000000000006
256,85,39.009088755206164,100.02505636761958,1.2000000000000002
260,86,26.43343466855197,99.85733487859824,1.4175046007029977
263,87,31.961620568308607,100.33519395172952,1.3790266043670623
265,88,40.33516245552609,100.30799776638574,1.2100320956211472
268,89,38.57730362172304,100.67980265432915,1.43889805856182

