PeakID,Timepoint,Amplitude,Position (px),Sigma (px)
3,0,36.15492080123508,47.19827364679126,1.2000000000000002
6,1,19.014128801139428,47.75320025913132,1.4885878411547513
9,2,31.657008601234526,47.45307035624857,1.4391403859506908
11,3,35.825922139316646,47.45519109431997,1.4890600956903064
15,4,31.54854399807136,48.03820356646825,1.4558013442454187
16,5,37.66875854902704,47.87665810803621,1.4483795936053416
21,6,24.858778571338956,47.5626117825345,1.4255990539196228
22,7,47.86268635743687,47.22157482224427,1.2000000000000002
27,8,30.873845495658262,48.33765937143603,1.5037642618382534
29,9,34.18093464807949,47.96726938147112,1.31945325871789
31,10,46.72162359882023,48.04848444661386,1.2405258709579494
36,11,8.105593853957817,47.88304946846175,2.114490594710904
38,12,31.005737215226215,47.9514699040091,1.4721562754754314
40,13,37.774947945595805,47.69033565437796,1.5011800316295807
45,14,24.23860519855768,48.064237750250626,1.4839472113457381
46,15,35.456797723394466,47.64707677597958,1.48617441735239
50,16,30.879698384815704,47.59107982735214,1.3101496361939085
53,17,28.332801916207107,47.63889690078788,1.356773400335831
57,18,21.599232405667276,48.77928570979295,1.3903894170957238
59,19,33.6489108264441,48.50758923381074,1.4646250673958767
63,20,26.906618067066432,49.0197697168089,1.6594172851148856
66,21,33.39454627916761,49.27120557478404,1.4581268529015783
68,22,17.499965747555937,48.95436243644731,2.2031288665967974
71,23,38.142481149714435,48.9505271474373,1.5252714811712553
75,24,35.04380059000644,48.52849174573786,1.4997103887962837
77,25,38.33488966445115,48.65155600232691,1.2000000000000002
80,26,26.27283081647376,48.35739356438953,1.2000000000000002
84,27,27.362958366944238,48.44570662007134,1.2000000000000002
87,28,22.489909042316597,48.51590135808719,1.6430392192192835
90,29,17.069809396036344,47.85467443548997,1.5579151062136813
92,30,27.587015911206255,47.644915542184776,1.4464006618064047
95,31,30.08453892043588,47.154476609657685,1.7572436287286926
99,32,13.567569531603441,46.719901454645786,1.5240201339816097
102,33,24.117152236375404,45.984667743114784,1.320506676343987
105,34,30.284836030386764,45.96556822465519,1.3404620810316192
107,35,39.72909090663021,46.29303581220907,1.6566678111459598
110,36,29.8172488249481,45.71885553855429,1.6091958476128143
112,37,50.57375363221647,45.780197444503834,1.2000000000000026
116,38,25.81167831444196,45.222020313698344,1.5945945354176565
118,39,31.60422308036074,45.428880282333864,1.6994087473260286
123,40,30.318096508916486,45.648869665895305,1.7863006075204078
125,41,35.258327730557454,45.45345821552231,1.6845205123052256
127,42,53.538584934242216,45.6727800521352,1.5452594255680594
130,43,51.982191485293356,45.450122895502,1.4789190712913447
135,44,13.861302930692425,45.799989790215335,2.0331981154252783
136,45,36.00525986555921,46.11979862846368,1.4898800739629756
141,46,18.26704917246087,45.890538762585855,1.6508233108684738
143,47,27.187792292363824,46.000894934117916,1.3725970914051426
145,48,62.71890248875586,45.79996510941693,1.2082450744471827
148,49,48.37273008966687,45.81741558136052,1.469546934405758
153,50,16.132888288577156,45.5778338310565,1.2000000000000002
156,51,27.54148128070783,45.319023395680524,1.5046332378786462
157,52,42.74056039836799,44.891142378966684,1.5226224416186027
160,53,40.42428347471009,44.23039883826453,1.5210111201346006
164,54,34.058028050453956,43.941764851133506,1.4253494062358387
167,55,33.866950518795946,44.83502815024977,1.4648008337405265
170,56,20.19033430335574,44.740861733976125,1.6672561453032582
172,57,45.486410975606525,44.81943960076589,1.360203314496165
176,58,27.927605922009057,44.13389606729718,1.6432130297502299
178,59,34.350839211366626,44.28191302279253,1.2000000000000004
181,60,51.46943926635836,43.91908673323816,1.2000000000000002
184,61,43.08156320944328,44.212307076328294,1.2000000000000002
188,62,29.78323413083425,44.47804739753169,1.6333764863201885
192,63,30.51853301055489,44.42677345103698,1.5072252595690931
195,64,31.790923680258302,44.28814140954683,1.7476759109723166
196,65,32.39187724039581,44.52392561959684,1.4221311421835516
199,66,56.290699290681395,44.847938728768135,1.2000000000000008
204,67,30.029449867221942,44.53209810790691,1.3133754488909575
207,68,41.70451745603759,44.39613892734398,1.2833681355177353
209,69,32.154748768798285,44.83140767544985,1.5499743415940967
211,70,42.05891966834718,44.0198743373512,1.5571162655512512
214,71,31.28999612266748,44.580976505458786,2.0013852549999127
219,72,24.65653803898931,43.660018743343635,1.7279822720086278
