Timepoint,Intensity,Step
0,42.25610866123776,34.28754248983745
1,37.45122316146745,34.28754248983745
2,43.96995400671182,34.28754248983745
3,40.59296251934016,34.28754248983745
4,50.444438092609516,34.28754248983745
5,25.27929199613581,34.28754248983745
6,34.798749713178196,34.28754248983745
7,42.404021415808245,34.28754248983745
8,42.057959951628874,34.28754248983745
9,40.15130604902504,34.28754248983745
10,28.23967029303397,34.28754248983745
11,37.01044626545375,34.28754248983745
12,36.95037924597929,34.28754248983745
13,31.726830040276507,34.28754248983745
14,45.3972608488664,34.28754248983745
15,32.613359470101585,34.28754248983745
16,34.296963252309,34.28754248983745
17,48.27810184991212,34.28754248983745
18,21.507424893735433,34.28754248983745
19,37.2147053613661,34.28754248983745
20,25.60802253786473,34.28754248983745
21,50.2149986960137,34.28754248983745
22,12.371980642234274,34.28754248983745
23,35.391165246865974,34.28754248983745
24,36.067156006716836,34.28754248983745
25,42.52040424721246,34.28754248983745
26,31.89682073769801,34.28754248983745
27,41.08880165141595,34.28754248983745
28,33.42929807040666,34.28754248983745
29,22.681096989604182,34.28754248983745
30,30.499590321028066,34.28754248983745
31,40.639019617381734,34.28754248983745
32,16.282749109219434,34.28754248983745
33,36.08449438923525,34.28754248983745
34,44.98158546159049,34.28754248983745
35,31.606200166543566,34.28754248983745
36,37.66731826305293,34.28754248983745
37,33.33550225393205,34.28754248983745
38,46.47795648184496,34.28754248983745
39,30.820003952123805,34.28754248983745
40,39.053957138528645,34.28754248983745
41,37.3601157913028,34.28754248983745
42,32.04941706743242,34.28754248983745
43,30.89778081106705,34.28754248983745
44,25.5460199857735,34.28754248983745
45,30.297904425082884,34.28754248983745
46,46.620427440390806,34.28754248983745
47,32.074007257525714,34.28754248983745
48,43.69147392134726,34.28754248983745
49,24.577203688627577,34.28754248983745
50,30.22838508206246,34.28754248983745
51,40.22044008626911,34.28754248983745
52,38.709546862395435,34.28754248983745
53,25.49376406017609,34.28754248983745
54,43.30935185969255,34.28754248983745
55,46.24607596599758,34.28754248983745
56,18.820435318789862,34.28754248983745
57,26.051621399300526,34.28754248983745
58,34.25100601740099,34.28754248983745
59,33.55959606715155,34.28754248983745
60,36.68382229772959,34.28754248983745
61,40.57154170470406,34.28754248983745
62,25.703014924257047,34.28754248983745
63,46.02039405099025,34.28754248983745
64,36.01785294135391,34.28754248983745
65,32.91827904647432,34.28754248983745
66,24.41970084801041,34.28754248983745
67,38.62193189543638,34.28754248983745
68,49.04369575667262,34.28754248983745
69,28.8709401884691,34.28754248983745
