Timepoint,Intensity,Step
0,36.15492080123508,35.94987960781436
1,19.014128801139428,35.94987960781436
2,31.657008601234526,35.94987960781436
3,35.825922139316646,35.94987960781436
4,31.54854399807136,35.94987960781436
5,37.66875854902704,35.94987960781436
6,24.858778571338956,35.94987960781436
7,47.86268635743687,35.94987960781436
8,30.873845495658262,35.94987960781436
9,34.18093464807949,35.94987960781436
10,46.72162359882023,35.94987960781436
11,8.105593853957817,35.94987960781436
12,31.005737215226215,35.94987960781436
13,37.774947945595805,35.94987960781436
14,24.23860519855768,35.94987960781436
15,35.456797723394466,35.94987960781436
16,30.879698384815704,35.94987960781436
17,28.332801916207107,35.94987960781436
18,21.599232405667276,35.94987960781436
19,33.6489108264441,35.94987960781436
20,26.906618067066432,35.94987960781436
21,33.39454627916761,35.94987960781436
22,17.499965747555937,35.94987960781436
23,38.142481149714435,35.94987960781436
24,35.04380059000644,35.94987960781436
25,38.33488966445115,35.94987960781436
26,26.27283081647376,35.94987960781436
27,27.362958366944238,35.94987960781436
28,22.489909042316597,35.94987960781436
29,17.069809396036344,35.94987960781436
30,27.587015911206255,35.94987960781436
31,30.08453892043588,35.94987960781436
32,13.567569531603441,35.94987960781436
33,24.117152236375404,35.94987960781436
34,30.284836030386764,35.94987960781436
35,39.72909090663021,35.94987960781436
36,29.8172488249481,35.94987960781436
37,50.57375363221647,35.94987960781436
38,25.81167831444196,35.94987960781436
39,31.60422308036074,35.94987960781436
40,30.318096508916486,35.94987960781436
41,35.258327730557454,35.94987960781436
42,53.538584934242216,35.94987960781436
43,51.982191485293356,35.94987960781436
44,13.861302930692425,35.94987960781436
45,36.00525986555921,35.94987960781436
46,18.26704917246087,35.94987960781436
47,27.187792292363824,35.94987960781436
48,62.71890248875586,35.94987960781436
49,48.37273008966687,35.94987960781436
50,16.132888288577156,35.94987960781436
51,27.54148128070783,35.94987960781436
52,42.74056039836799,35.94987960781436
53,40.42428347471009,35.94987960781436
54,34.058028050453956,35.94987960781436
55,33.866950518795946,35.94987960781436
56,20.19033430335574,35.94987960781436
57,45.486410975606525,35.94987960781436
58,27.927605922009057,35.94987960781436
59,34.350839211366626,35.94987960781436
60,51.46943926635836,35.94987960781436
61,43.08156320944328,35.94987960781436
62,29.78323413083425,35.94987960781436
63,30.51853301055489,35.94987960781436
64,31.790923680258302,35.94987960781436
65,32.39187724039581,35.94987960781436
66,56.290699290681395,35.94987960781436
67,30.029449867221942,35.94987960781436
68,41.70451745603759,35.94987960781436
69,32.154748768798285,35.94987960781436
70,42.05891966834718,35.94987960781436
71,31.28999612266748,35.94987960781436
72,24.65653803898931,35.94987960781436
73,24.69670327616297,35.94987960781436
74,45.73689320026496,35.94987960781436
75,50.0070233432131,35.94987960781436
76,28.422059715698026,35.94987960781436
77,39.85725563682323,35.94987960781436
78,37.047841421886346,35.94987960781436
79,46.98243144050319,35.94987960781436
80,40.00626458789513,35.94987960781436
81,39.0999520574691,35.94987960781436
82,43.231841343909124,35.94987960781436
83,40.124538318338935,35.94987960781436
84,55.67771902700996,35.94987960781436
85,34.649157575453444,35.94987960781436
86,42.92372771678809,35.94987960781436
87,31.575917446618277,35.94987960781436
88,36.241301355986565,35.94987960781436
89,41.56762670516263,35.94987960781436
90,48.807651446468256,35.94987960781436
91,32.007260037955554,35.94987960781436
92,36.035077530134515,35.94987960781436
