PeakID,Timepoint,Amplitude,Position (px),Sigma (px),Nearest neighbour distance,Nearest neighbour ID
1,0,4.576533868428273,41.74547628598711,2.0000000000000004,0.039695851944941296,3
2,0,4.188140938820096,76.66996099842584,2.0000000000000004,0.4254306502135137,5
3,0,4.174887017549846,95.61087560057774,2.0000000000000004,0.46690206484869634,4
4,0,3.8157051351394244,34.69540695165119,2.0000000000000004,0.14743154352511567,1
5,0,3.4725492947826484,53.55561775520933,2.0000000000000004,0.2918197133297227,2

