PeakID,Timepoint,Amplitude,Position (px),Sigma (px)
2,0,8.61268410279092,161.98085024792678,4.311692522546396
5,1,9.32778349967218,161.97462992828818,4.227458934324058
8,2,10.435154637071737,161.94876364347226,4.185362383998008
11,3,11.034681464729626,161.7981089221066,4.251771727725855
14,4,11.308508645055383,161.52984415991918,4.3478164345503965
17,5,11.609755158157327,161.3489227204713,4.483136551146815
20,6,11.626093584370913,161.3477774727209,4.694188308193335
23,7,11.067875282146128,161.50748105145615,5.0334953314044455
26,8,10.48626517229563,161.70522002732028,5.394975507328906
29,9,9.038720077809895,159.2886512899127,4.083068003732919
35,10,9.155250014611413,158.99460798977145,4.057897492453857
39,11,9.120404701421034,158.74235712874548,4.022473129535645
41,12,8.84030182257155,158.61006261675223,3.9943192508221816
47,13,8.810270462874852,158.91452164791465,4.146573003785678
49,14,10.743952463319099,161.65711145996923,5.459478771145282
52,15,10.906835975113756,161.47877023371996,5.260984211090037
55,16,11.17009277175147,161.21628727518018,5.100292096549471
58,17,11.356029611095183,160.94921169982848,4.980659965104272
61,18,11.266336322116146,160.75665694479142,4.89762108057633
64,19,10.529270168303459,160.60125292060076,4.5444049369471795
68,20,11.121142993618797,160.66157176463489,4.746674539924935
71,21,11.231949153935476,160.73192180198296,4.655152821116118
73,22,11.172003097713759,160.7864969214035,4.632222298750911
76,23,10.867007825299401,160.8762579795918,4.762035346676889
80,24,10.553852017016078,161.07527877903462,4.999267293554835
83,25,10.194674050054127,159.96045828217635,4.081789816206452
86,26,11.003034128376497,161.83611067945105,5.35363647214611
89,27,10.122073391661388,160.5440403424469,4.288096823476127
93,28,11.218313705915822,162.83609290018754,5.451974020585146
96,29,9.416721506262304,161.35536290180752,4.5121804905420495
101,30,9.13008607850601,161.08549158668671,4.289548761319671
105,31,9.160324274761118,160.5442659951387,4.0016905339181745
109,32,9.346977651825199,160.13075368728363,3.8422362137706303
113,33,9.177230745821769,159.83855578151778,3.7763144101500443
117,34,8.78683084125617,159.64813202249871,3.759614276326196
121,35,8.454722446539849,159.32253724379234,3.6460147403258505
125,36,8.113614387001187,158.75731496587667,3.4513707507882847
129,37,7.9766343732884915,158.27801364581393,3.3727788962274805
133,38,8.069530452108486,157.91295131186862,3.355306943123295
