Timepoint,Track1 ID,Track2 ID,Peak1 ID,Peak2 ID,Peak1 pos (px),Peak2 pos (px),Displacement1 (px),Displacement2 (px),Initial separation (px),R2,Intercept
0,2,2,2,2,14.593464265463465,15.467614127440529,0.0,0.0,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
1,2,2,5,5,14.617991817248964,15.337981163357039,0.024527551785498147,-0.12963296408348945,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
2,2,2,8,8,14.627002555114377,15.124334695260055,0.033538289650911324,-0.3432794321804735,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
3,2,2,11,11,14.58589599791843,14.936926309637617,-0.007568267545035923,-0.530687817802912,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
4,2,2,14,14,14.550813124146089,14.798845950123486,-0.042651141317376684,-0.6687681773170429,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
5,2,2,17,17,14.528417548192547,14.899511980635497,-0.06504671727091882,-0.5681021468050318,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
6,2,2,19,20,14.545036586994463,14.966483177891986,-0.04842767846900209,-0.5011309495485428,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
7,2,2,22,23,14.58308291508193,14.734794479756323,-0.010381350381535981,-0.7328196476842059,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
8,2,2,25,27,14.63557651800104,14.513167503461577,0.042112252537574335,-0.9544466239789511,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
9,2,2,28,30,14.722361813434054,14.441257404131225,0.12889754797058828,-1.0263567233093038,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
10,2,2,31,33,14.793282257535235,14.362764163029297,0.19981799207176998,-1.1048499644112315,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
11,2,2,35,36,14.888180949067156,14.242040627397845,0.2947166836036903,-1.2255735000426835,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
12,2,2,39,39,14.954917391033588,14.181623211578222,0.3614531255701223,-1.2859909158623068,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
13,2,2,42,42,14.966278027347267,14.188329628464803,0.3728137618838012,-1.2792844989757253,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
14,2,2,45,45,14.927908975073173,14.18056972297653,0.3344447096097074,-1.2870444044639981,0.8741498619770631,-0.3336369143964275,-1.3407596547778775
