PeakID,Timepoint,Amplitude,Position (px),Sigma (px),Instantaneous diffusion coefficient
1,0,1.6600912204564573,14.508232235464494,3.679107929420984,0.00019742712579554625
5,1,1.8400479552048672,14.464238533329274,3.4483785113457412,0.00019618206222113407
8,2,2.311632043737347,14.416898318606622,3.172266424711335,0.0001913700375641253
11,3,2.8678021142756727,14.444240351244522,3.1050229069386854,0.0001857637269948165
14,4,3.3392431448947573,14.477069840109515,3.1030803575084724,0.00018582454057363134
16,5,3.721957313946551,14.523774627476323,3.174264486291296,0.00019779456785533534
19,6,4.034140188849787,14.571182568529112,3.2792597015203166,0.00022855820407976938
22,7,4.222115027485306,14.624328128512062,3.348889382293031,0.0002542895465066394
25,8,4.2555526816508555,14.714566724115803,3.408648807897406,0.00025768693214027585
28,9,4.198025438308498,14.784748890683483,3.471991859339243,0.0002487649786127236
32,10,4.077303235661238,14.880099428676349,3.5942613196917925,0.00025412061263126775
36,11,3.945818233017614,14.947297871164437,3.696191709674333,0.0003249197261697499
39,12,3.8633608691741923,14.959982103576182,3.7652854726306475,0.0004438797510989452
42,13,3.811700314261081,14.92480854817711,3.8528015752436566,0.0005164318862949604
45,14,3.799379099038989,14.837657173442876,3.9334801208496453,0.0005266720860437949
48,15,3.7999996188112304,14.780004217663478,4.043797526825793,0.0005180515886802073
50,16,3.80059368933476,14.739926503462454,4.130591245404382,0.000543518091923086
53,17,3.785765176351499,14.749216048761706,4.148389939622791,0.0005953100511370039
56,18,3.7549282185630166,14.71160113257887,4.09152290228209,0.0006480724471201558
60,19,3.7073441297016125,14.597162234147124,3.9549767252891694,0.0006769901376454354
62,20,3.6105866834401557,14.470515449040434,3.8283623489417855,0.0006839651830454896
65,21,3.5359910702803714,14.327138004252934,3.754873640113004,0.0006753316703819079
68,22,3.579579214847276,14.296453596544216,3.6889102927191777,0.0006843994215510761
71,23,3.6980362592760403,14.355640659445504,3.6616258379733906,0.0006947865621760382
74,24,3.682535702574259,14.439224795580316,3.7029622740314054,0.000714199136085956
77,25,3.4889627576258126,14.640743915491111,3.7788334589876995,0.000742011513672767
81,26,3.285718139794828,14.95769922913965,3.82891614546168,0.0007748614965809388
84,27,3.1881158980054063,15.191172851036157,3.831988721076357,0.0008060766966172406
87,28,3.190557410840841,15.173161921640762,3.7987543132569104,0.0008374345061212778
90,29,3.3037470239959923,15.003111302323427,3.7000400318499134,0.0008729428938937967
93,30,3.5902410074191318,14.834206065189575,3.6177426401990758,0.0009142678002359955
96,31,3.9368481032901252,14.711531938550898,3.582654772387149,0.0009555266318121008
99,32,4.169660151585487,14.571841492300099,3.522231258823846,0.0009890931059613522
102,33,4.053850315693582,14.451764196652155,3.501773652883718,0.001008485955511678
105,34,3.3047024610307143,14.412741884927458,3.6043683648845097,0.001035044227837103
108,35,2.1279604068671674,14.414328250569307,3.9072826922199346,0.0010962259881504368
111,36,1.1501226927779027,14.460379929644581,4.8460485992734395,0.0011822671969139173

